claim_id,order_id_antigo,order_id_novo
5436548259,45941158909,2000013978279062
5436300556,45937288031,2000013969919860
5436091576,45928662834,2000013950214210
5435601262,45925194663,2000013942718862
5435600321,45923641146,2000013938637150
5435514722,45922836816,2000013936864906
5435474384,45924890753,2000013942030404
5435435498,45924088625,2000013940238318
5435053465,45908686431,2000013906611212
5431825312,45840329238,2000013752316536
5434855242,45908212798,2000013904957678
5434750233,45882108465,2000013846671162
5434613292,45913125771,2000013916362598
5434325954,45902272578,2000013892377026
5434269477,45878309325,2000013837334292
5434248058,45907944509,2000013904917744
5434188421,45907444372,2000013903354614
5434157541,45905163876,2000013898552134
5433889082,45902745321,2000013894037526
5433595659,45871375325,2000013821257142
5433568675,45742511927,2000013539380398
5433477441,45896811322,2000013880810972
5433451624,45896937414,2000013881068972
5433431792,45847931872,2000013768913792
5433200081,45891377889,2000013868412244
5433151140,45891695824,2000013868473074
5433147710,45891131235,2000013867803230
5433027086,45879976137,2000013841323632
5432946108,45887861234,2000013860221194
5432904020,45846148142,2000013765071076
5432755513,45884999618,2000013853083880
5432750141,45835484797,2000013742098014
5432483831,45878618590,2000013837454552
5432132806,45874029487,2000013827262882
5432121240,45874000794,2000013826553182
5430436716,45845023251,2000013763212964
5423255047,45726402815,2000013505916804
5416036653,45611215207,2000013253474772
5418763293,45597969870,2000013224264266
5431692552,45858450261,2000013792562672
5431594779,45865429527,2000013807835214
5429273899,45808584322,2000013682207422
5431531088,45864557522,2000013805383828
5431380168,45800198653,2000013664647668
5431102229,45856224987,2000013787785870
5431057367,45853901431,2000013782876218
5431046309,45830237808,2000013729258236
5430981745,45856890610,2000013788694398
5430882054,45854906815,2000013785031850
5430877648,45831960693,2000013733792120
5430726013,45852294850,2000013778513306
5430706315,45851717898,2000013777197074
5430588065,45839739262,2000013751052132
5421267160,45640479434,2000013318380556
5430471963,45847526477,2000013768604498
5430428677,45834137945,2000013738906588
5430265454,45844364304,2000013761056880
5430017072,45840359189,2000013752934476
5429958201,45839738148,2000013751032788
5429924214,45839146064,2000013749770670
5429461334,45830251308,2000013729263298
5429388239,45826537312,2000013721080570
5429339550,45828509342,2000013725400824
5429287817,45828262325,2000013725421432
5429121962,45809070295,2000013683784592
5429222495,45822981709,2000013713890058
5428766831,45820140157,2000013707680462
5428537811,45816495006,2000013699324390
5428528530,45816499533,2000013699847834
5428151059,45736283584,2000013525885142
5428072546,45809172010,2000013683510466
5427942161,45806688715,2000013678807008
5427516067,45795839789,2000013654991654
5427291696,45795657376,2000013654032246
5427236741,45794280468,2000013651165964
5427173557,45792987933,2000013648940032
5425847915,45724231126,2000013500563620
5421779405,45701598230,2000013451448520
5422011203,45696880174,2000013441332388
5427025124,45791533235,2000013645925674
5426972107,45790277312,2000013642301652
5426923169,45789779778,2000013641139116
5426859031,45788638834,2000013638456740
5426843916,45776526004,2000013612123114
5426789320,45786895291,2000013635071158
5426699754,45785834916,2000013631980302
5426647916,45784891307,2000013630463656
5426571497,45783320699,2000013627052870
5426215245,45778522119,2000013616906044
